Zip,City,County,Type,Area,Value,Year
78653,Manor,Travis County,Suburban,East,139737.7,2017
78655,Martindale,Caldwell County,Rural,South,122433.89,2011
78655,Martindale,Caldwell County,Rural,South,123488.54,2012
78655,Martindale,Caldwell County,Rural,South,124623.53,2013
78655,Martindale,Caldwell County,Rural,South,126363.43,2014
78655,Martindale,Caldwell County,Rural,South,128659.21,2015
78655,Martindale,Caldwell County,Rural,South,131090,2016
78655,Martindale,Caldwell County,Rural,South,134409.52,2017
78659,Paige,Bastrop County,Rural,East,90918.33,2011
78659,Paige,Bastrop County,Rural,East,92138.02,2012
78659,Paige,Bastrop County,Rural,East,93118.63,2013
78659,Paige,Bastrop County,Rural,East,94512.5,2014
78659,Paige,Bastrop County,Rural,East,96956.58,2015
78659,Paige,Bastrop County,Rural,East,100156.67,2016
78659,Paige,Bastrop County,Rural,East,103202.78,2017
78660,Pflugerville,Travis County,Suburban,North,157378.89,2011
78660,Pflugerville,Travis County,Suburban,North,157928.65,2012
78660,Pflugerville,Travis County,Suburban,North,158752.94,2013
78660,Pflugerville,Travis County,Suburban,North,160013.89,2014
78660,Pflugerville,Travis County,Suburban,North,161915.79,2015
78660,Pflugerville,Travis County,Suburban,North,164554.58,2016
78660,Pflugerville,Travis County,Suburban,North,167819.05,2017
78664,Round Rock,Williamson County,Suburban,North,141281.67,2011
78664,Round Rock,Williamson County,Suburban,North,141304.69,2012
78664,Round Rock,Williamson County,Suburban,North,141609.8,2013
78664,Round Rock,Williamson County,Suburban,North,142488.43,2014
78664,Round Rock,Williamson County,Suburban,North,144251.32,2015
78664,Round Rock,Williamson County,Suburban,North,146665.83,2016
78664,Round Rock,Williamson County,Suburban,North,149458.73,2017
78665,Round Rock,Williamson County,Suburban,North,176309.44,2011
78665,Round Rock,Williamson County,Suburban,North,177030.21,2012
78665,Round Rock,Williamson County,Suburban,North,178077.45,2013
78665,Round Rock,Williamson County,Suburban,North,179667.13,2014
78665,Round Rock,Williamson County,Suburban,North,182248.25,2015
78665,Round Rock,Williamson County,Suburban,North,185601.25,2016
78665,Round Rock,Williamson County,Suburban,North,189084.13,2017
78666,San Marcos,Hays County,Suburban,South,125472.78,2011
78666,San Marcos,Hays County,Suburban,South,126218.23,2012
78666,San Marcos,Hays County,Suburban,South,127045.59,2013
78666,San Marcos,Hays County,Suburban,South,128168.98,2014
78666,San Marcos,Hays County,Suburban,South,129914.04,2015
78666,San Marcos,Hays County,Suburban,South,132295.42,2016
78666,San Marcos,Hays County,Suburban,South,135079.37,2017
78669,Spicewood,Travis County,Rural,West,266812.22,2011
78669,Spicewood,Travis County,Rural,West,268658.85,2012
78669,Spicewood,Travis County,Rural,West,270226.47,2013
78669,Spicewood,Travis County,Rural,West,272494.44,2014
78669,Spicewood,Travis County,Rural,West,275372.81,2015
78669,Spicewood,Travis County,Rural,West,278972.08,2016
78669,Spicewood,Travis County,Rural,West,283144.44,2017
78676,Wimberley,Hays County,Rural,South,178679.44,2011
78676,Wimberley,Hays County,Rural,South,179889.58,2012
78676,Wimberley,Hays County,Rural,South,181376.96,2013
78676,Wimberley,Hays County,Rural,South,183010.19,2014
78676,Wimberley,Hays County,Rural,South,185710.09,2015
78676,Wimberley,Hays County,Rural,South,189608.33,2016
78676,Wimberley,Hays County,Rural,South,194996.43,2017
78681,Round Rock,Williamson County,Suburban,North,194997.22,2011
78681,Round Rock,Williamson County,Suburban,North,195497.4,2012
78681,Round Rock,Williamson County,Suburban,North,196628.92,2013
78681,Round Rock,Williamson County,Suburban,North,199030.56,2014
78681,Round Rock,Williamson County,Suburban,North,201955.7,2015
78681,Round Rock,Williamson County,Suburban,North,205481.25,2016
78681,Round Rock,Williamson County,Suburban,North,209401.19,2017
78701,Austin,Travis County,Urban,Central,247179.44,2011
78701,Austin,Travis County,Urban,Central,248615.1,2012
78701,Austin,Travis County,Urban,Central,250772.55,2013
78701,Austin,Travis County,Urban,Central,254295.37,2014
78701,Austin,Travis County,Urban,Central,259944.74,2015
78701,Austin,Travis County,Urban,Central,265472.5,2016
78701,Austin,Travis County,Urban,Central,271194.05,2017
78702,Austin,Travis County,Urban,Central,193546.11,2011
78702,Austin,Travis County,Urban,Central,195803.12,2012
78702,Austin,Travis County,Urban,Central,198797.55,2013
78702,Austin,Travis County,Urban,Central,203351.39,2014
78702,Austin,Travis County,Urban,Central,209385.96,2015
78702,Austin,Travis County,Urban,Central,216793.33,2016
78702,Austin,Travis County,Urban,Central,224923.81,2017
78703,Austin,Travis County,Urban,Central,449850,2011
78703,Austin,Travis County,Urban,Central,451182.81,2012
78703,Austin,Travis County,Urban,Central,454168.63,2013
78703,Austin,Travis County,Urban,Central,460047.69,2014
78703,Austin,Travis County,Urban,Central,469581.14,2015
78703,Austin,Travis County,Urban,Central,482262.5,2016
78703,Austin,Travis County,Urban,Central,495871.03,2017
78704,Austin,Travis County,Urban,Central,294645.56,2011
78704,Austin,Travis County,Urban,Central,296928.65,2012
78704,Austin,Travis County,Urban,Central,301327.45,2013
78704,Austin,Travis County,Urban,Central,307261.11,2014
78704,Austin,Travis County,Urban,Central,314887.72,2015
78704,Austin,Travis County,Urban,Central,322679.17,2016
78704,Austin,Travis County,Urban,Central,330286.9,2017
78705,Austin,Travis County,Urban,Central,154054.44,2011
78705,Austin,Travis County,Urban,Central,155073.96,2012
