Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
78641,52984,25,67.1,3.3,0.3,1.7,2.6,100,0.485196,2015,Leander
78641,55933,23.8,67,3.3,0.4,2.1,3.3,99.9,0.491821,2016,Leander
78641,60135,24,66.3,3.6,0.4,2.7,3.1,100.1,0.499829,2017,Leander
78642,8498,8.4,86.1,0.7,0.8,0.3,3.8,100.1,0.250057,2011,Liberty Hill
78642,9175,14.4,80.7,0.7,0.6,0.4,3.2,100,0.32689,2012,Liberty Hill
78642,9341,14.6,82.4,0.7,0.4,0.4,1.5,100,0.299402,2013,Liberty Hill
78642,9867,14.2,83.2,0.7,0.1,0.5,1.2,99.9,0.287393,2014,Liberty Hill
78642,9879,12.2,84.9,0.6,0.1,0.5,1.6,99.9,0.263997,2015,Liberty Hill
78642,10416,11.5,85.7,0.4,0.1,0.2,2.1,100,0.251864,2016,Liberty Hill
78642,11087,10.6,86,0.4,0,0.3,2.6,99.9,0.248463,2017,Liberty Hill
78644,16772,43.1,47.7,7.7,0.3,0.2,1.1,100.1,0.580647,2011,Lockhart
78644,16820,46.9,43.6,8,0.5,0,0.9,99.9,0.583437,2012,Lockhart
78644,17542,49,42.3,7,0.2,0.3,1.2,100,0.575914,2013,Lockhart
78644,17276,49.6,41.4,7.4,0.1,0.4,1.1,100,0.576974,2014,Lockhart
78644,18282,52.1,40.1,6.2,0.1,0.4,1,99.9,0.563797,2015,Lockhart
78644,18558,51.4,40.9,6.5,0.1,0.2,0.8,99.9,0.564229,2016,Lockhart
78644,18287,51.2,40.8,4.9,0.2,2.1,0.8,100,0.568482,2017,Lockhart
78645,10308,7.1,90.4,1,0.2,0.2,1.2,100.1,0.177491,2011,Lago Vista
78645,10012,12.7,85,1.1,0.2,0.1,0.9,100,0.261164,2012,Lago Vista
78645,10148,10.5,87.3,0.9,0.2,0.3,0.9,100.1,0.226671,2013,Lago Vista
78645,10312,11.9,85.3,1.2,0.3,0.3,1.2,100.2,0.257924,2014,Lago Vista
78645,10274,13.2,83.3,0.9,0.3,0.3,2,100,0.288188,2015,Lago Vista
78645,10290,15.2,80.1,1.9,0.3,0.8,1.7,100,0.334572,2016,Lago Vista
78645,10705,11.2,83.9,2,0.4,0.8,1.7,100,0.282766,2017,Lago Vista
78648,7899,39.8,50.4,8.2,1.4,0,0.2,100,0.580656,2011,Luling
78648,7971,35.3,54.7,9.9,0,0,0.1,100,0.56638,2012,Luling
78648,7866,33.5,57.3,9,0.1,0,0.1,100,0.551344,2013,Luling
78648,8238,37,55.8,6.9,0.1,0,0.1,99.9,0.546973,2014,Luling
78648,7824,34.5,58.5,6.6,0.2,0.1,0.1,100,0.534388,2015,Luling
78648,7746,38.1,54,7.5,0.1,0.1,0.2,100,0.557608,2016,Luling
78648,7791,42.8,49.6,6.7,0.2,0.5,0.3,100.1,0.566273,2017,Luling
78652,4256,22.5,73.2,3.1,0,0.3,0.9,100,0.4125,2011,San Leanna
78652,4687,27.8,67,3.1,0,1.3,0.7,99.9,0.472637,2012,San Leanna
78652,5117,30.7,66,1.6,0,1.1,0.6,100,0.469738,2013,San Leanna
78652,5408,33.7,62.7,1.7,0,1.2,0.8,100.1,0.492805,2014,San Leanna
78652,5355,32.3,64.4,1.6,0,1.6,0,99.9,0.480423,2015,San Leanna
78652,4919,36.6,60.6,1.2,0,1.5,0,99.9,0.498439,2016,San Leanna
78652,4965,37.1,59.4,2.9,0,0.6,0,100,0.508646,2017,San Leanna
78653,14631,46.2,32.6,19.5,0,1.2,0.5,100,0.642086,2011,Manor
78653,15783,48.2,27.1,22.4,0,1.1,1.2,100,0.643794,2012,Manor
78653,16917,50.9,24.4,21.8,0,1.8,1.1,100,0.633414,2013,Manor
78653,17968,45,27.6,23.1,0,1.9,2.4,100,0.667026,2014,Manor
78653,19072,51.2,22.2,24.3,0,0.7,1.5,99.9,0.629249,2015,Manor
78653,19328,47.3,25.3,23.7,0,1,2.6,99.9,0.655317,2016,Manor
78653,20822,46.9,24.8,23.4,0,1.6,3.4,100.1,0.662367,2017,Manor
78655,3694,60.2,29.4,9.2,0,0,1.2,100,0.542552,2011,Martindale
78655,3684,60.6,33.4,5.1,0,0,0.9,100,0.518526,2012,Martindale
78655,3917,64.9,29.3,5,0,0,0.8,100,0.490386,2013,Martindale
78655,4006,68.7,28.1,2.9,0,0,0.3,100,0.44822,2014,Martindale
78655,3574,69.1,26.8,3.9,0,0,0.3,100.1,0.449165,2015,Martindale
78655,3431,66.1,30.4,3.1,0,0,0.3,99.9,0.469693,2016,Martindale
78655,3415,69.4,27.1,3.2,0,0,0.3,100,0.44389,2017,Martindale
78659,3052,8.4,91.2,0,0,0.4,0,100,0.161184,2011,Paige
78659,2799,7.4,91.5,0.6,0,0.5,0,100,0.157238,2012,Paige
78659,3140,5.9,89.5,3.9,0,0.8,0,100.1,0.193909,2013,Paige
78659,2870,13.8,81.7,3.4,0,1.1,0,100,0.31219,2014,Paige
78659,3118,13.7,81.9,3.6,0.9,0,0,100.1,0.309093,2015,Paige
78659,3093,12.9,81.5,4.6,1,0,0,100,0.316918,2016,Paige
78659,3136,14.4,79,3.9,1,0.3,1.5,100.1,0.353309,2017,Paige
78660,67630,29.5,43.6,14.8,0.2,9.9,1.9,99.9,0.690809,2011,Pflugerville
78660,70407,30.2,43.7,14.9,0.3,9.4,1.6,100.1,0.686525,2012,Pflugerville
78660,75038,30.5,43.1,14.5,0.3,10,1.6,100,0.689924,2013,Pflugerville
78660,77046,29.6,45.4,14.3,0.3,9.1,1.5,100.2,0.677304,2014,Pflugerville
78660,79067,30.7,44.4,14.2,0.3,8.7,1.6,99.9,0.680617,2015,Pflugerville
78660,81698,30.2,43,15.2,0.3,9.7,1.6,100,0.691118,2016,Pflugerville
78660,85450,32,42.4,14.5,0.2,9.2,1.7,100,0.688042,2017,Pflugerville
78664,51942,33.9,47.8,11.3,0.3,3.9,2.8,100,0.641512,2011,Round Rock
78664,54864,35.6,45.8,11.9,0.3,3.7,2.7,100,0.647232,2012,Round Rock
78664,57806,36.8,44.2,11.6,0.2,4.3,2.9,100,0.653062,2013,Round Rock
78664,58959,36.8,44.6,11.1,0.1,4.6,2.6,99.8,0.650546,2014,Round Rock
78664,59765,36.3,44.3,12.3,0.2,4.8,2.2,100.1,0.654061,2015,Round Rock
78664,60884,36.3,44.6,11.8,0.1,4.5,2.7,100,0.652636,2016,Round Rock
78664,61361,33.5,46,11.9,0,5.5,3,99.9,0.658089,2017,Round Rock
78665,31767,22.2,60.2,9.9,0.1,6.5,1.1,100,0.574164,2011,Round Rock
78665,33133,22.6,60.3,8.6,0.2,6.7,1.5,99.9,0.573201,2012,Round Rock
78665,36291,24.3,58.6,7.7,0.1,7.5,1.6,99.8,0.585744,2013,Round Rock
78665,38829,23.4,57.1,9.8,0.2,7.8,1.7,100,0.603222,2014,Round Rock
78665,41517,24,55,11.4,0.1,7.6,1.8,99.9,0.620803,2015,Round Rock
78665,43715,24.6,52.1,12,0.1,8.4,2.8,100,0.645802,2016,Round Rock
78665,46109,26.9,50.7,10.7,0.1,8.1,3.4,99.9,0.651423,2017,Round Rock
78666,61953,41.2,50.3,5.2,0.4,1.4,1.5,100,0.574106,2011,San Marcos
78666,63255,41.2,50.2,5.1,0.4,1.5,1.7,100.1,0.575121,2012,San Marcos
78666,66027,42.9,49.1,4.5,0.4,1.5,1.5,99.9,0.572387,2013,San Marcos
78666,68704,42.1,49.6,4.4,0.4,1.4,2.1,100,0.574154,2014,San Marcos
78666,72866,42.5,49,4.7,0.5,1.4,2,100.1,0.576445,2015,San Marcos
78666,75968,44.2,47.3,4.8,0.3,1.5,1.9,100,0.578008,2016,San Marcos
78666,77355,43.6,47.7,5.2,0.1,1.5,1.8,99.9,0.579121,2017,San Marcos
78669,8834,9.8,87.8,1.6,0,0.5,0.2,99.9,0.219227,2011,Spicewood
78669,8737,9.4,88.2,1.3,0,0.8,0.3,100,0.212998,2012,Spicewood
78669,8418,9.5,87.9,1.8,0,0.5,0.4,100.1,0.217969,2013,Spicewood
78669,8909,6.8,89.6,2.5,0,0.4,0.7,100,0.19187,2014,Spicewood
78669,9303,7.6,89.5,1.1,0,1.2,0.6,100,0.192898,2015,Spicewood
78669,10734,9.1,87.6,1,0,1.5,0.7,99.9,0.223969,2016,Spicewood
78669,11375,8.2,87,1,0,3,0.8,100,0.235312,2017,Spicewood
78676,11750,4.9,91.3,1.7,0.6,0.4,1.1,100,0.163568,2011,Wimberley
78676,12177,7.2,89.4,0.8,0.8,0.3,1.6,100.1,0.195187,2012,Wimberley
78676,12453,7.2,88.5,1.2,0.6,0.7,1.8,100,0.211038,2013,Wimberley
78676,12215,7.5,88.4,1.2,0.3,0.9,1.8,100.1,0.212361,2014,Wimberley
78676,12413,8.4,87,1.1,0.6,0.8,2.2,100.1,0.235339,2015,Wimberley
78676,13202,9.2,87.1,0.4,0.4,1,1.9,100,0.232402,2016,Wimberley
78676,13231,8.6,89.1,0.2,0.2,0.8,0.9,99.8,0.19857,2017,Wimberley
78681,51409,19.4,65.7,4.2,0.9,7,2.9,100.1,0.523129,2011,Round Rock
78681,53229,18.8,66.2,4.2,0.7,7.4,2.7,100,0.518394,2012,Round Rock
78681,54141,19.2,64.8,4.6,0.6,7.6,3.1,99.9,0.534343,2013,Round Rock
78681,54517,20,64.9,4.4,0.5,7.3,2.9,100,0.530668,2014,Round Rock
78681,54923,20.8,63.6,4.7,0.5,7.4,3,100,0.54363,2015,Round Rock
78681,56086,20.9,62.7,5.3,0.1,8,2.9,99.9,0.553139,2016,Round Rock
78681,57234,22.7,60.1,4.8,0.2,9,3.3,100.1,0.575773,2017,Round Rock
78701,5084,12,73.1,7.6,0,6.6,0.7,100,0.441058,2011,Austin
78701,5642,14.1,70.3,5.7,0,8,1.9,100,0.4759,2012,Austin
78701,5915,13.8,70.7,5.2,0,7.7,2.6,100,0.471798,2013,Austin
78701,6188,14.5,68.4,4.9,0,9.5,2.6,99.9,0.499017,2014,Austin
78701,7051,14.1,69.3,3.8,0.2,9.4,3.2,100,0.488562,2015,Austin
78701,7401,13.4,72.1,3.1,0.2,8.4,2.8,100,0.453398,2016,Austin
78701,7875,15.8,71.8,4.2,0.3,6.6,1.2,99.9,0.453239,2017,Austin
78702,20643,56,25.4,15.6,0,1.8,1.2,100,0.59708,2011,Austin
78702,21032,56.3,25.7,15.2,0,1.6,1.2,100,0.593478,2012,Austin
78702,21655,55.6,27.2,14.1,0.1,1.1,1.8,99.9,0.596553,2013,Austin
78702,21855,53.4,29.9,13.5,0.1,1.2,1.9,100,0.606712,2014,Austin
78702,21477,50.7,32.2,12.9,0.1,2.1,1.9,99.9,0.621823,2015,Austin
78702,22617,50.6,33,12.7,0,1.8,1.9,100,0.61825,2016,Austin
78702,22876,47,36.4,12.5,0,1.9,2.2,100,0.630134,2017,Austin
78703,19579,9.4,81.4,1.2,1.1,4.8,2,99.9,0.325599,2011,Austin
78703,19873,9.1,81.7,1.8,0.9,4.7,1.9,100.1,0.321255,2012,Austin
78703,19860,8.2,83.1,1.6,0.7,4.4,2.1,100.1,0.300033,2013,Austin
78703,20061,8.4,81.2,1.5,0.7,6.1,2.1,100,0.329164,2014,Austin
78703,20530,9.1,80.2,1.4,0.5,6.5,2.3,100,0.34354,2015,Austin
78703,20815,8.6,81.5,1.2,0.1,7.1,1.5,100,0.322968,2016,Austin
78703,20788,6.7,83.7,0.6,0.1,8,1.1,100.2,0.288384,2017,Austin
78704,41616,31,61.4,3.9,0.4,1.3,1.9,99.9,0.524837,2011,Austin
78704,41709,29.6,63.3,3.3,0.3,1.7,1.8,100,0.509984,2012,Austin
78704,41999,26.6,66.1,3.2,0.2,1.6,2.2,99.9,0.490555,2013,Austin
78704,42770,26.5,66.9,2.6,0.2,1.8,1.9,99.9,0.480849,2014,Austin
78704,44668,26.7,65.8,2.8,0.1,2.6,1.9,99.9,0.493925,2015,Austin
78704,46474,26.8,65.8,2.6,0.1,2.7,2.1,100.1,0.493365,2016,Austin
78704,47158,26.1,65.5,3,0.3,3,2.1,100,0.500604,2017,Austin
78705,29247,14.8,64.1,3.2,0.1,15.9,1.9,100,0.540548,2011,Austin
78705,30532,17.1,62.3,2.9,0.1,15.3,2.3,100,0.55785,2012,Austin
78705,31282,17.3,61.5,4,0.1,14.5,2.7,100.1,0.568491,2013,Austin
78705,31735,18.6,59.9,4.4,0.1,14.4,2.6,100,0.583254,2014,Austin
78705,32346,17.7,60.3,5,0.3,13.9,2.8,100,0.582448,2015,Austin
78705,32414,17.8,58.9,6.1,0.2,13.8,3.1,99.9,0.597665,2016,Austin
78705,33075,17.1,57.8,6.8,0.3,14.8,3.2,100,0.609114,2017,Austin
78717,22278,12.5,62.5,5,0,17.1,2.7,99.8,0.56128,2011,Austin
78717,23514,13.9,60.9,4.3,0,18,3,100.1,0.574649,2012,Austin
78717,24099,13.2,63.3,4,0,16.5,3,100,0.552162,2013,Austin
78717,25427,13,61.8,3,0,19.1,3.1,100,0.562834,2014,Austin
78717,26072,13.5,59.2,3.3,0,20.4,3.6,100,0.58731,2015,Austin
78717,27101,13.9,59,2.7,0.5,21.4,2.5,100,0.585404,2016,Austin
78717,27764,13.8,54.6,3.7,0.4,24.6,2.9,100,0.620098,2017,Austin
78721,11100,56.1,10.7,31.4,0.2,0.8,0.7,99.9,0.575117,2011,Austin
78721,11178,52.5,11.1,33.6,0.3,0.7,1.8,100,0.598776,2012,Austin
78721,11482,53,13.2,31.5,0.4,0.3,1.8,100.2,0.602102,2013,Austin
78721,12087,52,15,30.1,0.6,0.7,1.7,100.1,0.616125,2014,Austin
78721,12508,52.7,15.1,28.8,0.5,1.3,1.6,100,0.616076,2015,Austin
78721,12153,47.7,19.6,29.1,0.2,1.4,2.1,100.1,0.648733,2016,Austin
78721,12447,47.6,20.6,29.2,0.1,1.5,1.1,100.1,0.645377,2017,Austin
78722,5733,21.3,60.5,13,0.6,2.4,2.2,100,0.57061,2011,Austin
78722,5973,19.1,62.5,13.5,0.9,2.7,1.4,100.1,0.553663,2012,Austin
78722,6355,20.1,63.7,10.1,0.6,4.3,1.1,99.9,0.541623,2013,Austin
78722,6514,20.1,62.2,11,0.7,3.9,2,99.9,0.558645,2014,Austin
78722,7006,16.5,62.9,12.1,0,5,3.5,100,0.558768,2015,Austin
78722,7292,14.3,64.8,13.2,0,3.1,4.5,99.9,0.539237,2016,Austin
78722,7254,13.4,67.6,11.6,0,3,4.4,100,0.508776,2017,Austin
78723,29869,43.8,26.3,26.7,0.1,1.9,1.3,100.1,0.667167,2011,Austin
78723,30999,45.5,27.8,23.4,0.1,1.8,1.4,100,0.660414,2012,Austin
78723,31234,43.9,29.2,23.4,0.2,1.9,1.5,100.1,0.666669,2013,Austin
78723,30955,43.4,30.4,22.3,0.2,1.8,1.8,99.9,0.668847,2014,Austin
78723,32155,43.3,32.6,20.2,0.2,1.9,1.8,100,0.664742,2015,Austin
78723,32496,42.4,35.6,18.7,0.2,1.7,1.4,100,0.65803,2016,Austin
78723,33170,41.3,36.3,18.3,0.1,2.1,1.9,100,0.66337,2017,Austin
78724,20447,60,9,30.2,0.3,0,0.6,100.1,0.540651,2011,Austin
78724,21677,62.9,7.7,28.8,0.1,0,0.5,100,0.51546,2012,Austin
78724,21454,63.3,8.3,26.7,0.1,0.5,1.1,100,0.520986,2013,Austin
78724,23313,65.8,7.9,24.5,0.1,0.3,1.3,99.9,0.500591,2014,Austin
78724,23612,67.3,8,22.7,0,0.3,1.7,100,0.488844,2015,Austin
78724,24558,65.9,10.2,21.5,0,0.2,2.1,99.9,0.508645,2016,Austin
78724,24833,66.1,10.5,20.7,0.1,0.3,2.4,100.1,0.508619,2017,Austin
78725,6021,49.7,14.9,30.8,0,3,1.5,99.9,0.634801,2011,Austin
78725,6477,46,16.6,34.7,0,0,2.7,100,0.639706,2012,Austin
78725,8169,56.8,14.8,26.9,0,0.4,1.2,100.1,0.582951,2013,Austin
78725,7612,38.3,19.1,40,0,0.5,2,99.9,0.656405,2014,Austin
78725,7343,45.7,18.8,33.2,0,0.5,1.8,100,0.645234,2015,Austin
78725,7931,51.4,21,24.9,0,0.8,1.9,100,0.629278,2016,Austin
78725,7517,50,21.7,24.4,0,1.2,2.9,100.2,0.64239,2017,Austin
78726,13198,16.6,66,3.3,0.6,11.8,1.6,99.9,0.521539,2011,Austin
78726,12482,19.6,64.1,2.9,0.6,11.8,1.1,100.1,0.535781,2012,Austin
78726,13181,17.9,64.6,3.7,0.4,12.5,0.8,99.9,0.533569,2013,Austin
78726,12786,16.2,63.9,3.6,0,14.7,1.7,100.1,0.542241,2014,Austin
78726,13027,19.2,55.8,4.9,0,17.9,2.1,99.9,0.616889,2015,Austin
78726,13925,14.4,60.8,6.2,0,16.6,2.1,100.1,0.577759,2016,Austin
78726,14610,14.1,58.7,6.4,0,17.9,3,100.1,0.598513,2017,Austin
78727,28075,19.8,56.4,7.8,0,14,2,100,0.616616,2011,Austin
78727,28461,20,55.5,8,0,14.3,2.2,100,0.624642,2012,Austin
78727,28563,17.7,57.2,6.9,0,15.5,2.8,100.1,0.611917,2013,Austin
78727,29506,17.8,54.3,6.5,0.5,17.4,3.6,100.1,0.637645,2014,Austin
78727,29354,17.6,54.5,5.8,0.5,17.5,4.1,100,0.636304,2015,Austin
78727,29085,17.8,54,6.5,0.5,17.6,3.7,100.1,0.640121,2016,Austin
78727,28999,18.2,54,6.3,0.5,17.3,3.7,100,0.639984,2017,Austin
78728,20232,27.5,43.6,14.4,0.6,10.8,3,99.9,0.700943,2011,Austin
78728,20939,27.9,46.3,13.2,0.6,9.1,3,100.1,0.681149,2012,Austin
78728,20817,25.9,44.6,16.3,0.7,8.9,3.6,100,0.698168,2013,Austin
78728,20794,27.2,45.3,14,0.2,9.3,3.9,99.9,0.691033,2014,Austin
78728,21081,23.6,46.4,17.5,0.3,8.6,3.5,99.9,0.689753,2015,Austin
78728,21858,24.2,46.9,18.2,0.2,6.8,3.8,100.1,0.682279,2016,Austin
78728,21245,28.8,41.2,17.9,0.3,8.3,3.5,100,0.707148,2017,Austin
78729,27024,18.4,61.5,8.5,0,9.3,2.3,100,0.571516,2011,Austin
78729,28228,16.8,61.4,9.8,0,9.6,2.4,100,0.575384,2012,Austin
78729,26906,19,59.2,9.1,0.2,9.5,3.1,100.1,0.595165,2013,Austin
78729,28786,19.7,58.2,10.3,0.1,8.1,3.5,99.9,0.604071,2014,Austin
